About,Acerca de,
Acceptance for Terms and/or Policies,Aceptación de Términos y/o Políticas,
Accepted,Aceptado,
Account ID,ID de la cuenta,
Active,Activo,
Address,Dirección,
Admin,Admin,
All,Todos,
Allow Job Posting From Website,Permitir publicación de empleo desde el sitio web,
Allow Self Enrollment,Permitir la autoinscripción,
Allow accessing future dates,Permitir acceder a fechas futuras,
Amount,Importe,
Amount (USD),Importe (USD),
Amount with GST,Importe con GST,
Answer,Respuesta,
Apply GST for India,Aplicar GST para India,
Apply Rounding on Equivalent,Aplicar redondeo al equivalente,
Approved,Aprobado,
Apps,Apps,
Assessment,Evaluación,
Assessment Name,Nombre de la Evaluación,
Assessment Type,Tipo de evaluación,
Assessments,Evaluaciones,
Assignment,Asignación,
Assignment Attachment,Adjunto de la asignación,
Assignment Title,Título de la tarea,
Assignment will appear at the bottom of the lesson.,La tarea aparecerá al final de la lección.,
Attire Preference,Preferencia de vestimenta,
Auto Assign,Autoasignar,
Auto Recording,Grabación Automática,
Badge,Insignia,
Badge Description,Descripción de la Insignia,
Badge Image,Imagen de la Insignia,
Batch,Lote,
Batch Confirmation Template,Plantilla de confirmación de lote,
Batch Course,Curso por lotes,
Batch Description,Descripción de Lotes,
Batch Details,Detalles del lote,
Batch Details Raw,Detalles del lote en bruto,
Batch Evaluator,Evaluador de Lote,
Batch Name,Nombre del lote,
Batch Old,Lote Antiguo,
Batch Settings,Configuración de lotes,
Batch Title,Título del grupo,
Batches,Lotes,
Begin Date,Fecha de comienzo,
Billing Details,Detalles de facturación,
Billing Name,Nombre de Facturación,
Body,Cuerpo,
Branch,Sucursal,
CGPA/4,CGPA/4,
Cancelled,Cancelado,
Career Preference Details,Detalles de preferencia profesional,
Category,Categoría,
Certificate,Certificado,
Certificate Email Template,Plantilla de correo electrónico de certificado,
Certification,Certificación,
Certification Details,Detalles de certificación,
Certification Name,Nombre de la certificación,
Certified Participants,Participantes certificados,
Chapter,Capítulo,
Chapter Reference,Referencia del capítulo,
Chapters,Capítulos,
Choices,Opciones,
City,Ciudad,
Client ID,Id del cliente,
Client Secret,Secreto del cliente,
Closed,Cerrado,
Cloud,Nube,
Code,Código,
Cohort,Cohorte,
Cohort Join Request,Solicitud de ingreso de Cohort,
Cohort Mentor,Mentor de Cohorte,
Cohort Staff,Personal de Cohort,
Cohort Subgroup,Subgrupo de Cohort,
Cohort Web Page,Página web de Cohorte,
Collaboration Preference,Preferencia de colaboración,
College Name,Nombre de la academia,
Color,Color,
Comments,Comentarios,
Company,Compañía,
Company Details,Detalles de la Compañía,
Company Email Address,Dirección de correo de la Empresa,
Company Logo,Logo de la Compañía,
Company Name,Nombre de compañía,
Company Type,Tipo de empresa,
Company Website,Página Web de la empresa,
Complete,Completar,
Completed,Completado,
Completion Certificate,Certificado de finalización,
Condition,Condición,
Confirmation Email Sent,Correo de confirmación enviado,
Confirmation Email Template,Plantilla de correo electrónico de confirmación,
Content,Contenido,
Contract,Contrato,
Correct,Correcto,
Country,País,
Course,Curso,
Course Chapter,Capítulo del curso,
Course Creator,Creador del curso,
Course Evaluator,Evaluador del curso,
Course Instructor,Instructor del curso,
Course Lesson,Lección del curso,
Course Progress Summary,Resumen del progreso del curso,
Course Settings,Configuración del curso,
Course Title,Título del curso,
Courses,Cursos,
Cover Image,Imagen de portada,
Currency,Divisa / Moneda,
Current Lesson,Lección actual,
Custom HTML,HTML Personalizado,
Custom Script (JavaScript),Script personalizado (JavaScript),
Custom Signup Content,Contenido de registrarse personalizado,
Customisations,Personalizaciones,
DLS,DLS,
DLS Assessment,Evaluación DLS,
DLS Assignment,Asignación de DLS,
DLS Assignment Submission,Envío de asignación DLS,
DLS Badge,Insignia DLS,
DLS Badge Assignment,Asignación de insignias de DLS,
DLS Batch,Lote DLS,
DLS Batch Old,Lote DLS antiguo,
DLS Batch Timetable,Horario de lotes DLS,
DLS Category,Categoría DLS,
DLS Certificate,Certificado DLS,
DLS Certificate Evaluation,Evaluación del certificado DLS,
DLS Certificate Request,Solicitud de certificado DLS,
DLS Course,Curso DLS,
DLS Course Interest,Interés del curso DLS,
DLS Course Mentor Mapping,Mapeo de mentores del curso DLS,
DLS Course Progress,Progreso del Curso DLS,
DLS Course Review,Revisión del Curso DLS,
DLS Enrollment,Inscripción DLS,
DLS Exercise,Ejercicio DLS,
DLS Job Application,Aplicación de empleo DLS,
DLS Live Class,Clase en vivo DLS,
DLS Mentor Request,Solicitud de mentor DLS,
DLS Option,Opción DLS,
DLS Payment,Pago DLS,
DLS Question,Pregunta DLS,
DLS Quiz,Cuestionario DLS,
DLS Quiz Question,Pregunta del cuestionario DLS,
DLS Quiz Result,Resultado del cuestionario DLS,
DLS Quiz Submission,Envío de cuestionarios DLS,
DLS Settings,Configuración de DLS,
DLS Sidebar Item,Elemento de la barra lateral de DLS,
DLS Source,Fuente DLS,
DLS Student,Estudiante DLS,
DLS Timetable Legend,Leyenda del horario del DLS,
DLS Timetable Template,Plantilla de horario DLS,
Dashboard,Tablero,
Date,Fecha,
Date and Time,Fecha y hora,
Day,Día,
Default Currency,Divisa / modena predeterminada,
Degree Type,Tipo de Grado,
Description,Descripción,
Disable Self Learning,Desactivar autoaprendizaje,
Disabled,Deshabilitado,
Discussions,Discusiones,
Document,Documento,
Dream Companies,Empresas de ensueño,
Duration,Duración,
Duration (in minutes),Duración (en minutos),
E-Mail,Correo Electrónico,
E-mail,Correo Electrónico,
Education,Educación,
Education Detail,Detalle de la Educación,
Education Details,Detalles de la educación,
Email Sent,Correo Electrónico Enviado,
Email Templates,Plantillas de correo,
Emails,Correos,
Enable,Habilitar,
Enabled,Habilitado,
End Date,Fecha Final,
End Date (or expected),Fecha de finalización (o esperado),
End Time,Hora de finalización,
Enrollments,Inscripciones,
Evaluation Details,Detalles de evaluación,
Evaluation End Date,Fecha de finalización de la evaluación,
Evaluator,Evaluador,
Evaluator Name,Nombre del evaluador,
Evaluator Schedule,Horario del evaluador,
Event,Evento,
Exercise,Ejercicio,
Exercise Latest Submission,Último envío de ejercicios,
Exercise Submission,Entregas de ejercicios,
Exercise Title,Título del ejercicio,
Expiration Date,Fecha de caducidad,
Expiry Date,Fecha de caducidad,
Explanation,Explicación,
Explanation ,Explicación ,
Fail,Falla,
Featured,Destacados,
Feedback,Retroalimentación,
Field To Check,Campo para verificar,
Field of Major/Study,Campo de especialización/estudio,
File Type,Tipo de Archivo,
Frappe Support,Soporte de Frappe,
Freelance,Freelance,
French (e.g. Distinction),"Francés (por ejemplo, Distinción)",
Friday,Viernes,
From,Desde,
From Date,Desde la fecha,
Full Name,Nombre completo,
Full Time,Tiempo completo,
Function,Función,
GSTIN,GSTIN,
General,General,
Github ID,Github ID,
Google Meet Link,Enlace Google Meet,
Grade,Calificación,
Grade Assignment,Calificar asignación,
Grade Type,Tipo de grado,
Grant only once,Conceder sólo una vez,
Headline,Titular,
Hide my Private Information from others,Ocultar mi información privada a los demás,
Hints,Consejos,
Host,Anfitrión,
I am currently working here,Actualmente trabajo aquí,
I am looking for a job,Estoy buscando un trabajo,
Icon,Icono,
"If you set an amount here, then the USD equivalent setting will not get applied.","Si establece una cantidad aquí, entonces no se aplicará el ajuste equivalente en USD.",
Image,Imagen,
In Progress,En Progreso,
Inactive,Inactivo,
Include In Preview,Incluir en vista previa,
Incomplete,Incompleto,
Incorrect,Incorrecto,
Index,Índice,
Index Label,Etiqueta índice,
Industry,Industria,
Institution Name,Nombre de Institución,
Instructor,Instructor,
Instructor Content,Contenido del instructor,
Instructor Notes,Notas del instructor,
Instructors,Instructores,
Invite Code,Código de Invitación,
Invite Email,Correo de invitación,
Invite Only,Solo por invitación,
Invite Request,Solicitudes de invitación,
Is Correct,Es correcto,
Issue Date,Fecha de emisión,
Issued On,Emitido el,
Items in Sidebar,Elementos en la barra lateral,
Job,Empleo,
Job Board Subtitle,Subtítulo de la bolsa de trabajo,
Job Board Title,Título de la bolsa de trabajo,
Job Opportunity,Oportunidad de empleo,
Job Settings,Configuración de trabajo,
Job Title,Título del trabajo,
Jobs,Trabajos,
Join URL,Unirse a URL,
Keyboard Shortcuts,Atajos de teclado,
Label,Etiqueta,
Latest Submission,Última presentación,
Lesson,Lección,
Lesson Reference,Referencia de la lección,
Lesson Title,Título de la lección,
Lessons,Lecciones,
"Letter Grade (e.g. A, B-)","Calificación con letras (por ejemplo, A, B-)",
Limit Questions To,Limitar preguntas a,
LinkedIn ID,ID de LinkedIn,
Live,En vivo,
Live Class,Clase en vivo,
LiveCode URL,URL LiveCode,
Local,Local,
Location,Ubicación,
Location Preference,Preferencia de ubicación,
Log out,Salir,
Make DLS the default home,Convertir DLS en la página de inicio por defecto,
Manager,Administrador,
Marks,Marcas,
Marks out of,Marcas fuera de,
Max Attempts,Intentos máximos,
Medium,Medio,
Medium ID,ID de Medium,
Member,Miembro,
Member Cohort,Miembro Cohorte,
Member Email,Correo electrónico del miembro,
Member Name,Nombre del Miembro,
Member Subgroup,Subgrupo de miembros,
Member Type,Tipo de miembro,
Membership,Membresía,
Memeber Username,Nombre de usuario del miembro,
Mentor,Mentor,
Mentor Name,Nombre del mentor,
Mentor Request,Solicitud de mentor,
Mentor Request Creation Template,Plantilla de creación de solicitud de mentor,
Mentor Request Status Update Template,Plantilla de actualización del estado de la solicitud de mentor,
Meta Description,Metadescripción,
Meta Image,Meta imagen,
Milestone,Evento importante,
Moderator,Moderador,
Monday,Lunes,
Multiple Correct Answers,Múltiples respuestas correctas,
New,Nuevo,
No Recording,Sin grabación,
Not Applicable,No aplicable,
Not Graded,Sin calificar,
Notifications,Notificaciones,
OAuth Client ID,ID de cliente de OAuth,
Offline,Desconectado,
Online,En línea,
Open,Abrir/Abierto,
Open Ended,Apertura finalizada,
Option,Opción,
Option 1,Opción 1,
Option 2,Opción 2,
Option 3,Opción 3,
Option 4,Opción 4,
Order ID,ID de pedido,
Organization,Organización,
PAN,PAN,
PDF,PDF,
Pages,Páginas,
Paid Batch,Lote pagó,
Paid Course,Cursos Pagos,
Part Time,Tiempo parcial,
Partially Complete,Parcialmente completo,
Pass,Aprobar,
Passing Percentage,Porcentaje de aprobación,
Password,Contraseña,
Payment,Pago,
Payment Country,País de pago,
Payment Details,Detalles de pago,
Payment Gateway,Pasarela de Pago,
Payment ID,ID del pago,
Payment Received,Pago recibido,
Payment Settings,Opciones de Pago,
Payment for Document,Pago del documento,
Payment for Document Type,Tipo de documento de pago,
Payments app is not installed,La aplicación de pagos no está instalada,
Pending,Pendiente,
Percentage,Porcentaje,
Percentage (e.g. 70%),"Porcentaje (por ejemplo, 70%)",
Point of Score (e.g. 70),"Punto de puntuación (por ejemplo, 70)",
Possible Answer 1,Posible respuesta 1,
Possible Answer 2,Posible respuesta 2,
Possible Answer 3,Posible respuesta 3,
Possible Answer 4,Posible respuesta 4,
Preferred Function,Función preferida,
Preferred Functions,Funciones preferidas,
Preferred Industries,Industrias preferidas,
Preferred Industry,Industria preferida,
Preferred Location,Ubicación preferida,
Preview Image,Previsualizar imagen,
Pricing,Precios,
Primary Countries,Países principales,
Primary Subgroup,Subgrupo primario,
Private,Privado,
Private Information includes your Grade and Work Environment Preferences,La información privada incluye su calificación y preferencias de entorno laboral.,
Profession,Profesión,
Progress,Progreso,
Public,Público,
Publish on Participant Page,Publicar en la página del participante,
Published,Publicado,
Published On,Publicado el,
Question,Pregunta,
Question Detail,Detalle de la pregunta,
Question Name,Nombre de la Pregunta,
Questions,Preguntas,
Quiz,Cuestionario,
Quiz ID,ID del cuestionario,
Quiz Title,Título del cuestionario,
Quiz will appear at the bottom of the lesson.,El cuestionario aparecerá al final de la lección.,
Rating,Clasificación,
Ready,Listo,
Reference DocName,DocName de referencia,
Reference DocType,DocType de referencia,
Reference Document Type,Tipo de Documento de Referencia,
Registered,Registrado,
Rejected,Rechazado,
Related Courses,Cursos relacionados,
Reload,Recargar,
Required Role,Rol Requerido,
Restricted,Restringido,
Result,Resultado,
Resume,Reanudar,
Review,revisión,
Reviewed By,Revisado por,
Role,Rol,
Role Preference,Preferencia de rol,
Route,Ruta,
Saturday,Sábado,
Schedule,Calendario,
Scheduled Flow,Flujo programado,
Scope,Alcance,
Score,Puntuación,
Score Out Of,Puntuación fuera de,
Seat Count,Número de asientos,
Send calendar invite for evaluations,Enviar invitación al calendario para las evaluaciones,
Session Defaults,Valores predeterminados de sesión,
Sessions On Days,Sesiones los días,
Short Introduction,Breve introducción,
Show Answer,Mostrar respuesta,
Show Answers,Mostrar respuestas,
Show Submission History,Mostrar historial de envíos,
Show Tab in Batch,Mostrar pestaña en lote,
Show USD Equivalent,Mostrar equivalente en USD,
Show day view in timetable,Mostrar vista del día en el horario,
Show live class,Mostrar clase en vivo,
Shuffle Questions,Preguntas aleatorias,
Sidebar,Barra Lateral,
Sidebar Items,Elementos de barra lateral,
Signup Email,Correo electrónico de registro,
Signup Settings,Configuración de registro,
Skill,Habilidad,
Skill Details,Detalles de la habilidad,
Skill Name,nombre de la habilidad,
Skills,Habilidades,
Slug,Slug,
Solution,Solución,
Source,Referencia,
Staff,Personal,
Stage,Etapa,
Start Date,Fecha de inicio,
Start Time,Hora de inicio,
Start URL,URL de inicio,
Statistics,Estadísticas,
Status,Estado,
Student,Estudiante,
Students,Estudiantes,
Students will be enrolled in a paid batch once they complete the payment,Los estudiantes serán inscritos en un lote pago una vez que completen el pago,
Subgroup,Subgrupo,
Summary,Resumen,
Sunday,Domingo,
System Health,Salud del sistema,
System Manager,Administrador del sistema,
Tags,Etiquetas,
Template,Plantilla,
Test Results,Resultados de la prueba,
Tests,Pruebas,
Text,Texto,
These customisations will work on the main batch page.,Estas personalizaciones funcionarán en la página principal de lotes.,
This certificate does no expire,Este certificado no caduca,
Thursday,Jueves,
Time,Hora,
Time Preference,Preferencia horaria,
Timetable,Horario,
Timetable Legends,Leyendas de horarios,
Timetable Template,Plantilla de horario,
Timezone,Zona Horaria,
Title,Nombre,
To,A,
To Date,Hasta la fecha,
Toggle Full Width,Cambiar a ancho completo,
Toggle Theme,Cambiar tema,
Total Marks,Marcas totales,
Tuesday,Martes,
Type,Tipo,
"UK Grading  (e.g. 1st, 2:2)","Calificación de Reino Unido (ej., 1º, 2:2)",
URL,URL,
Unavailability,Indisponibilidad,
Under Review,En Revisión,
Unlisted,No listado,
Unsplash Access Key,Clave de acceso a Unsplash,
Upcoming,Próximamente,
User,Usuario,
User Category,Categoría de usuario,
User Field,Campo de usuario,
User Image,Imagen de Usuario,
User Input,Entrada del usuario,
User Settings,Configuración del Usuario,
User Skill,Habilidad del usuario,
Username,Nombre de usuario,
Users Response,Respuesta del usuario,
Value,Valor,
Value Change,Cambio de Valor,
Video Embed Link,Enlace de incrustación de vídeo,
View Website,Ver Sitio Web,
Visibility,Visibilidad,
Volunteering or Internship,Voluntariado o pasantía,
Web Page,Página Web,
Wednesday,Miércoles,
Withdrawn,Retirado,
Work Environment,Ambiente de trabajo,
Work Experience,Experiencia laboral,
Work Experience Details,Detalles de la experiencia de trabajo,
Workspace Settings,Ajustes del espacio de trabajo,
YouTube Video URL,URL del Video de YouTube,
YouTube Video will appear at the top of the lesson.,El vídeo de YouTube aparecerá en la parte superior de la lección.,
Zoom Settings,Configuración de Zoom,
