About,A Propos,
Accepted,Accepté.e,
Account ID,ID du compte,
Active,actif,
Address,Adresse,
Admin,Administrateur,
All,Tout,
Allow Job Posting From Website,Autoriser la publication d'offres d'emploi à partir du site Web,
Allow Self Enrollment,Autoriser l'auto-inscription,
Allow accessing future dates,Autoriser l'accès aux dates futures,
Amount (USD),Montant (USD),
Amount with GST,Montant avec taxe,
Answer,Réponse,
Apply GST for India,Appliquer la taxe pour l'Inde,
Apply Rounding on Equivalent,Appliquer l'arrondi sur l'équivalent,
Approved,Approuvé,
Assessment,Évaluation,
Assessment Name,Nom de l'évaluation,
Assessment Type,Type d'évaluation,
Assessments,Évaluations,
Assignment,Affectation,
Assignment Attachment,Pièce jointe de l'évaluation,
Assignment Title,Titre du devoir,
Assignment will appear at the bottom of the lesson.,Le devoir apparaîtra au bas de la leçon.,
Auto Assign,Affectation automatique,
Auto Recording,Enregistrement automatique,
Badge,Badge,
Badge Description,Description de Badge,
Badge Image,Image du badge,
Batch,Lot,
Batch Confirmation Template,Modèle de confirmation de lot,
Batch Course,Cours par lots,
Batch Description,Description du Lot,
Batch Details,Détails du lot,
Batch Details Raw,Détails du lot brut,
Batch Evaluator,Évaluateur de lots,
Batch Name,Nom du lot,
Batch Old,Ancien lot,
Batch Settings,Paramètres de lot,
Batches,Lots,
Begin Date,Date de début,
Billing Details,Détails de la Facturation,
Billing Name,Nom de facturation,
Body,Corps,
Branch,Branche,
CGPA/4,CGPA/4,
Cancelled,Annulé,
Category,Catégorie,
Certificate,Certificat,
Certificate Email Template,Modèle de courriel de certificat,
Certification,Certification,
Certification Name,Nom de la certification,
Certified Participants,Participants certifiés,
Chapter,Chapitre,
Chapter Reference,Référence de chapitre,
Chapters,Chapitres,
Choices,Choix,
City,Ville,
Client ID,ID Client,
Client Secret,Secret Client,
Closed,Fermé,
Cloud,Nuage,
Code,Code,
Cohort,Cohorte,
Cohort Join Request,Demande d'adhésion à une cohorte,
Cohort Mentor,Mentor de la cohorte,
Cohort Staff,Personnel de la cohorte,
Cohort Subgroup,Sous-groupe de cohorte,
Cohort Web Page,Page Web de la cohorte,
Color,Couleur,
Comments,Commentaires,
Company,Société,
Company Details,Détail de la société,
Company Email Address,Courriel de l'entreprise,
Company Logo,Logo de la société,
Company Name,Nom de la Société,
Company Website,Site Web de l'entreprise,
Complete,Terminé,
Completed,Terminé,
Condition,Conditions,
Confirmation Email Sent,Courriel de confirmation envoyé,
Confirmation Email Template,Modèle de courriel de confirmation,
Content,Contenu,
Contract,Contrat,
Correct,Correct,
Country,Pays,
Course,Cours,
Course Chapter,Chapitre du cours,
Course Creator,Créateur de cours,
Course Evaluator,Évaluateur de cours,
Course Instructor,Enseignant du cours,
Course Lesson,Leçon de cours,
Course Progress Summary,Résumé de la progression du cours,
Course Settings,Paramètres du Cours,
Course Title,Titre du cours,
Courses,Cours,
Currency,Devise,
Current Lesson,Leçon actuelle,
Custom HTML,HTML Personnalisé,
Custom Script (JavaScript),Script personnalisé (JavaScript),
Customisations,Personnalisations,
Dashboard,Tableau de bord,
Date and Time,Date et heure,
Day,Jour,
Default Currency,Devise par Défaut,
Degree Type,Type de diplôme,
Disable Self Learning,Désactiver l'auto-apprentissage,
Disabled,Desactivé,
Document,Document,
Duration,Durée,
Education,Éducation,
Email Sent,Email Envoyé,
Email Templates,Modèles d’Email,
Emails,E-mails,
Enable,Activer,
Enabled,Activé,
End Date,Date de Fin,
End Time,Heure de Fin,
Event,Événement,
Expiry Date,Date d'expiration,
Explanation,Explication,
Explanation ,Explication ,
Featured,En vedette,
Feedback,Retour d’Expérience,
Field To Check,Champ à vérifier,
File Type,Type de fichier,
Friday,Vendredi,
From,À partir de,
From Date,A partir du,
Full Name,Nom Complet,
Function,Une fonction,
General,Général,
Grade,Note,
Icon,Icône,
Image,Image,
In Progress,En cours,
Inactive,Inactif,
Industry,Industrie,
Issue Date,Date d'Émission,
Job Title,Titre de l'Emploi,
Jobs,Emplois,
Keyboard Shortcuts,Raccourcis clavier,
Label,Étiquette,
Local,Locale,
Location,Lieu,
Medium,Moyen,
Milestone,Étape importante,
Monday,Lundi,
New,Nouveau,
Not Applicable,Non Applicable,
OAuth Client ID,ID client OAuth,
Open,Ouvert,
Organization,Organisation,
Password,Mot de Passe,
Payment,Paiement,
Payment Gateway,Passerelle de Paiement,
Payment Received,Paiement reçu,
Pending,En Attente,
Percentage,Pourcentage,
Pricing,Tarification,
Private,Privé,
Progress,Progression,
Published,Publié,
Published On,Publié le,
Rating,Évaluation,
Reference DocName,Référence DocName,
Reference DocType,Référence DocType,
Reference Document Type,Type du document de référence,
Rejected,Rejeté,
Reload,Recharger,
Result,Résultat,
Resume,CV,
Review,Révoir,
Role,Rôle,
Saturday,Samedi,
Session Defaults,Session par défaut,
Sidebar Items,Articles de la Barre Latérale,
Skill,Compétence,
Skill Name,Nom de la compétence,
Skills,Compétences,
Stage,Etape,
Start Date,Date de Début,
Start Time,Heure de Début,
Status,Statut,
Summary,Résumé,
Sunday,Dimanche,
System Manager,Responsable Système,
Tags,Balises,
Template,Modèle,
Text,Texte,
Thursday,Jeudi,
Time,Temps,
Title,Titre,
To,À,
To Date,Jusqu'au,
Toggle Full Width,Changer l&#39;affichage en pleine largeur,
Toggle Theme,Basculer le thème,
Tuesday,Mardi,
Under Review,En cours de révision,
User,Utilisateur,
User Field,Champ de l&#39;utilisateur,
User Image,Photo de Profil,
Username,Nom d'Utilisateur,
Value,Valeur,
Value Change,Modification de Valeur,
View Website,Voir Le Site Web,
Web Page,Page Web,
Wednesday,Mercredi,
